playerID,yearID,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
alvarpe01,2015,vs LHP as LHB,53,,65,62,,16,1,0,3,9,0,0,3,20,.258,.292,.419,.712,26,0,0,0,0,0,1,.333,81,111
alvarpe01,2015,vs RH Starter,123,120,453,402,54,96,18,0,25,70,1,0,45,120,.239,.316,.470,.786,189,6,2,0,4,9,3,.272,100,116
alvarpe01,2015,vs LH Starter,27,4,38,35,6,10,0,0,2,7,1,0,3,11,.286,.342,.457,.799,16,0,0,0,0,0,0,.364,105,122
alvarpe01,2016,vs RHP,106,,334,299,37,75,18,0,21,43,1,0,34,87,.251,.326,.522,.848,156,6,0,0,1,1,1,.281,105,126
alvarpe01,2016,vs LHP,34,,42,38,6,9,2,0,1,6,0,0,3,10,.237,.286,.368,.654,14,0,0,0,1,0,0,.286,62,77
alvarpe01,2016,vs RHP as LHB,106,,334,299,,75,18,0,21,43,0,0,34,87,.251,.326,.522,.848,156,6,0,0,1,1,1,.281,105,121
alvarpe01,2016,vs LHP as LHB,34,,42,38,,9,2,0,1,6,0,0,3,10,.237,.286,.368,.654,14,0,0,0,1,0,0,.286,62,94
alvarpe01,2016,vs RH Starter,94,89,356,319,41,79,17,0,21,46,1,0,35,93,.248,.320,.498,.819,159,6,0,0,2,1,1,.280,98,119
alvarpe01,2016,vs LH Starter,15,2,20,18,2,5,3,0,1,3,0,0,2,4,.278,.350,.611,.961,11,0,0,0,0,0,0,.308,130,156
alvaryo01,2019,vs RHP,82,,238,199,44,63,14,0,18,53,0,0,38,64,.317,.424,.658,1.083,131,6,0,0,1,4,0,.381,103,184
alvaryo01,2019,vs LHP,61,,131,114,14,35,12,0,9,25,0,0,14,30,.307,.389,.649,1.038,74,3,2,0,1,0,2,.342,94,166
alvaryo01,2019,vs RHP as LHB,82,,238,199,,63,14,0,18,53,0,0,38,64,.317,.424,.658,1.083,131,6,0,0,1,4,0,.381,103,176
alvaryo01,2019,vs LHP as LHB,61,,131,114,,35,12,0,9,25,0,0,14,30,.307,.389,.649,1.038,74,3,2,0,1,0,2,.342,94,184
alvaryo01,2019,vs RH Starter,60,57,251,206,47,69,19,0,21,58,0,0,41,61,.335,.446,.733,1.179,151,6,2,0,2,2,0,.381,120,207
alvaryo01,2019,vs LH Starter,27,26,118,107,11,29,7,0,6,20,0,0,11,33,.271,.339,.505,.844,54,3,0,0,0,2,2,.338,59,120
amarial01,2015,vs RHP,115,,315,286,23,58,8,4,3,26,4,1,22,48,.203,.259,.290,.549,83,5,1,2,4,4,2,.230,102,53
amarial01,2015,vs LHP,32,,42,38,5,8,2,0,0,4,1,0,2,7,.211,.244,.263,.507,10,1,0,1,1,0,0,.250,87,42
amarial01,2015,vs RHP as LHB,115,,315,286,,58,8,4,3,26,0,0,22,48,.203,.259,.290,.549,83,5,1,2,4,4,2,.230,102,48
amarial01,2015,vs LHP as LHB,32,,42,38,,8,2,0,0,4,0,0,2,7,.211,.244,.263,.507,10,1,0,1,1,0,0,.250,87,52
amarial01,2015,vs RH Starter,104,84,329,297,24,59,10,3,3,26,5,1,23,51,.199,.255,.283,.537,84,6,1,3,5,4,2,.226,98,50
amarial01,2015,vs LH Starter,14,3,28,27,4,7,0,1,0,4,0,0,1,4,.259,.286,.333,.619,9,0,0,0,0,0,0,.304,127,73
anderbr06,2018,vs RHP,151,,499,443,69,124,24,3,8,52,2,3,40,95,.280,.357,.402,.759,178,10,14,0,2,2,7,.339,101,110
anderbr06,2018,vs LHP,82,,171,147,18,37,10,1,3,13,0,1,22,34,.252,.357,.395,.751,58,8,2,0,0,0,2,.309,99,111
anderbr06,2018,vs RHP as RHB,151,,499,443,,124,24,3,8,52,0,0,40,95,.280,.357,.402,.759,178,10,14,0,2,2,7,.339,101,115
anderbr06,2018,vs LHP as RHB,82,,171,147,,37,10,1,3,13,0,0,22,34,.252,.357,.395,.751,58,8,2,0,0,0,2,.309,99,105
anderbr06,2018,vs RH Starter,118,116,504,452,65,124,24,3,9,52,2,3,40,91,.274,.347,.400,.748,181,12,11,0,1,2,7,.326,97,106
anderbr06,2018,vs LH Starter,38,37,166,138,22,37,10,1,2,13,0,1,22,38,.268,.386,.399,.784,55,6,5,0,1,0,2,.354,108,120
anderbr06,2019,vs RHP,123,,397,347,49,94,28,1,14,54,5,1,38,84,.271,.355,.478,.834,166,13,9,0,3,1,4,.317,106,121
anderbr06,2019,vs LHP,58,,123,112,8,26,5,0,6,12,0,0,6,30,.232,.301,.438,.738,49,2,5,0,0,0,1,.263,82,91
anderbr06,2019,vs RHP as RHB,123,,397,347,,94,28,1,14,54,0,0,38,84,.271,.355,.478,.834,166,13,9,0,3,1,4,.317,106,127
anderbr06,2019,vs LHP as RHB,58,,123,112,,26,5,0,6,12,0,0,6,30,.232,.301,.438,.738,49,2,5,0,0,0,1,.263,82,87
anderbr06,2019,vs RH Starter,93,89,389,341,43,90,27,1,13,49,5,0,36,81,.264,.347,.463,.810,158,12,9,0,3,1,4,.308,100,114
anderbr06,2019,vs LH Starter,33,31,131,118,14,30,6,0,7,17,0,1,8,33,.254,.328,.483,.811,57,3,5,0,0,0,1,.295,99,111
anderti01,2016,vs RHP,94,,336,318,47,86,18,5,7,23,10,2,11,91,.270,.296,.425,.721,135,8,1,5,1,0,4,.357,95,94
anderti01,2016,vs LHP,35,,95,92,10,30,4,1,2,7,0,0,2,26,.326,.340,.457,.797,42,7,0,1,0,0,0,.438,117,116
anderti01,2016,vs RHP as RHB,94,,336,318,,86,18,5,7,23,0,0,11,91,.270,.296,.425,.721,135,8,1,5,1,0,4,.357,95,98
anderti01,2016,vs LHP as RHB,35,,95,92,,30,4,1,2,7,0,0,2,26,.326,.340,.457,.797,42,7,0,1,0,0,0,.438,117,109
anderti01,2016,vs RH Starter,74,73,315,302,43,80,16,5,7,23,8,2,8,87,.265,.285,.421,.706,127,9,1,3,1,0,3,.349,91,89
anderti01,2016,vs LH Starter,25,25,116,108,14,36,6,1,2,7,2,0,5,30,.333,.363,.463,.826,50,6,0,3,0,0,1,.447,126,124
anderti01,2017,vs RHP,140,,443,428,52,100,15,3,13,37,8,1,11,125,.234,.256,.374,.629,160,8,2,1,1,0,6,.299,86,66
anderti01,2017,vs LHP,66,,163,159,20,51,11,1,4,19,7,0,2,37,.321,.333,.478,.811,76,5,1,1,0,0,3,.398,140,116
anderti01,2017,vs RHP as RHB,140,,443,428,,100,15,3,13,37,0,0,11,125,.234,.256,.374,.629,160,8,2,1,1,0,6,.299,86,71
anderti01,2017,vs LHP as RHB,66,,163,159,,51,11,1,4,19,0,0,2,37,.321,.333,.478,.811,76,5,1,1,0,0,3,.398,140,110
